Step Time(ns) rpsystem.zeeman1.field.x rpsystem.zeeman1.field.y rpsystem.zeeman1.field.z rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 1080 0 0 0 0.919093 0.026969 0.026969 0.026969 1 
1 1085 0 0 0 0.82079 0.0597368 0.0597368 0.0597368 1 
1 1090 0 0 0 0.698455 0.100515 0.100515 0.100515 1 
1 1095 0 0 0 0.567103 0.144299 0.144299 0.144299 1 
1 1100 0 0 0 0.442859 0.185714 0.185714 0.185714 1 
1 1105 0 0 0 0.340971 0.219676 0.219676 0.219676 1 
1 1110 0 0 0 0.273945 0.242018 0.242018 0.242018 1 
1 1115 0 0 0 0.25001 0.249997 0.249997 0.249997 1 
1 1120 0 0 0 0.272101 0.242633 0.242633 0.242633 1 
1 1125 0 0 0 0.337509 0.22083 0.22083 0.22083 1 
1 1130 0 0 0 0.438205 0.187265 0.187265 0.187265 1 
1 1135 0 0 0 0.561828 0.146057 0.146057 0.146057 1 
1 1140 0 0 0 0.693205 0.102265 0.102265 0.102265 1 
1 1145 0 0 0 0.816211 0.0612631 0.0612631 0.0612631 1 
1 1150 0 0 0 0.915746 0.0280845 0.0280845 0.0280845 1 
1 1155 0 0 0 0.979595 0.00680169 0.00680169 0.00680169 1 
1 1160 0 0 0 0.999919 2.69366e-05 2.69366e-05 2.69366e-05 1 
1 1165 0 0 0 0.974225 0.0085918 0.0085918 0.0085918 1 
1 1170 0 0 0 0.905665 0.031445 0.031445 0.031445 1 
1 1175 0 0 0 0.802656 0.0657815 0.0657815 0.0657815 1 
1 1180 0 0 0 0.67784 0.107387 0.107387 0.107387 1 
1 1185 0 0 0 0.546539 0.151154 0.151154 0.151154 1 
1 1190 0 0 0 0.424868 0.191711 0.191711 0.191711 1 
1 1195 0 0 0 0.327763 0.224079 0.224079 0.224079 1 
1 1200 0 0 0 0.267141 0.244286 0.244286 0.244286 1 
1 1205 0 0 0 0.250444 0.249852 0.249852 0.249852 1 
1 1210 0 0 0 0.279721 0.240093 0.240093 0.240093 1 
1 1215 0 0 0 0.351379 0.216207 0.216207 0.216207 1 
1 1220 0 0 0 0.456622 0.181126 0.181126 0.181126 1 
1 1225 0 0 0 0.582533 0.139156 0.139156 0.139156 1 
1 1230 0 0 0 0.713656 0.0954481 0.0954481 0.0954481 1 
1 1235 0 0 0 0.833897 0.0553677 0.0553677 0.0553677 1 
1 1240 0 0 0 0.928497 0.0238342 0.0238342 0.0238342 1 
1 1245 0 0 0 0.985845 0.00471818 0.00471818 0.00471818 1 
1 1250 0 0 0 0.998902 0.000365938 0.000365938 0.000365938 1 
1 1255 0 0 0 0.966065 0.0113117 0.0113117 0.0113117 1 
1 1260 0 0 0 0.891364 0.0362119 0.0362119 0.0362119 1 
1 1265 0 0 0 0.783969 0.0720103 0.0720103 0.0720103 1 
1 1270 0 0 0 0.657061 0.114313 0.114313 0.114313 1 
1 1275 0 0 0 0.526218 0.157927 0.157927 0.157927 1 
1 1280 0 0 0 0.4075 0.1975 0.1975 0.1975 1 
1 1285 0 0 0 0.315479 0.228174 0.228174 0.228174 1 
1 1290 0 0 0 0.261449 0.246184 0.246184 0.246184 1 
1 1295 0 0 0 0.252043 0.249319 0.249319 0.249319 1 
1 1300 0 0 0 0.288414 0.237195 0.237195 0.237195 1 
1 1305 0 0 0 0.3661 0.2113 0.2113 0.2113 1 
1 1310 0 0 0 0.475563 0.174812 0.174812 0.174812 1 
1 1315 0 0 0 0.603369 0.13221 0.13221 0.13221 1 
1 1320 0 0 0 0.73383 0.0887232 0.0887232 0.0887232 1 
1 1325 0 0 0 0.850933 0.0496889 0.0496889 0.0496889 1 
1 1330 0 0 0 0.940304 0.0198986 0.0198986 0.0198986 1 
1 1335 0 0 0 0.990974 0.00300877 0.00300877 0.00300877 1 
1 1340 0 0 0 0.996722 0.00109257 0.00109257 0.00109257 1 
1 1345 0 0 0 0.956844 0.0143852 0.0143852 0.0143852 1 
1 1350 0 0 0 0.876235 0.041255 0.041255 0.041255 1 
1 1355 0 0 0 0.764788 0.078404 0.078404 0.078404 1 
1 1360 0 0 0 0.636183 0.121272 0.121272 0.121272 1 
1 1365 0 0 0 0.506205 0.164598 0.164598 0.164598 1 
1 1370 0 0 0 0.390809 0.203064 0.203064 0.203064 1 
1 1375 0 0 0 0.304158 0.231947 0.231947 0.231947 1 
1 1380 0 0 0 0.256888 0.247704 0.247704 0.247704 1 
1 1385 0 0 0 0.254802 0.248399 0.248399 0.248399 1 
1 1390 0 0 0 0.298155 0.233948 0.233948 0.233948 1 
1 1395 0 0 0 0.381626 0.206125 0.206125 0.206125 1 
1 1400 0 0 0 0.494969 0.168344 0.168344 0.168344 1 
1 1405 0 0 0 0.624273 0.125242 0.125242 0.125242 1 
1 1410 0 0 0 0.753667 0.0821111 0.0821111 0.0821111 1 
1 1415 0 0 0 0.867267 0.0442444 0.0442444 0.0442444 1 
1 1420 0 0 0 0.95113 0.0162898 0.0162898 0.0162898 1 
1 1425 0 0 0 0.994964 0.00167878 0.00167878 0.00167878 1 
1 1430 0 0 0 0.993386 0.00220458 0.00220458 0.00220458 1 
1 1435 0 0 0 0.946592 0.0178027 0.0178027 0.0178027 1 
1 1440 0 0 0 0.860324 0.0465586 0.0465586 0.0465586 1 
1 1445 0 0 0 0.745172 0.0849426 0.0849426 0.0849426 1 
1 1450 0 0 0 0.61527 0.128243 0.128243 0.128243 1 
1 1455 0 0 0 0.486561 0.171146 0.171146 0.171146 1 
1 1460 0 0 0 0.374846 0.208385 0.208385 0.208385 1 
1 1465 0 0 0 0.293835 0.235388 0.235388 0.235388 1 
1 1470 0 0 0 0.253472 0.248843 0.248843 0.248843 1 
1 1475 0 0 0 0.258712 0.247096 0.247096 0.247096 1 
1 1480 0 0 0 0.308912 0.230363 0.230363 0.230363 1 
1 1485 0 0 0 0.397909 0.200697 0.200697 0.200697 1 
1 1490 0 0 0 0.51478 0.16174 0.16174 0.16174 1 
1 1495 0 0 0 0.64518 0.118273 0.118273 0.118273 1 
1 1500 0 0 0 0.773103 0.0756324 0.0756324 0.0756324 1 
1 1505 0 0 0 0.882847 0.039051 0.039051 0.039051 1 
1 1510 0 0 0 0.960942 0.0130192 0.0130192 0.0130192 1 
1 1515 0 0 0 0.997803 0.000732332 0.000732332 0.000732332 1 
1 1520 0 0 0 0.988904 0.0036985 0.0036985 0.0036985 1 
1 1525 0 0 0 0.935339 0.0215536 0.0215536 0.0215536 1 
1 1530 0 0 0 0.843682 0.0521061 0.0521061 0.0521061 1 
1 1535 0 0 0 0.725182 0.0916058 0.0916058 0.0916058 1 
1 1540 0 0 0 0.594387 0.135204 0.135204 0.135204 1 
1 1545 0 0 0 0.467348 0.177551 0.177551 0.177551 1 
1 1550 0 0 0 0.359661 0.213446 0.213446 0.213446 1 
1 1555 0 0 0 0.284542 0.238486 0.238486 0.238486 1 
1 1560 0 0 0 0.251212 0.249596 0.249596 0.249596 1 
1 1565 0 0 0 0.263762 0.245413 0.245413 0.245413 1 
1 1570 0 0 0 0.320652 0.226449 0.226449 0.226449 1 
1 1575 0 0 0 0.414898 0.195034 0.195034 0.195034 1 
1 1580 0 0 0 0.534933 0.155022 0.155022 0.155022 1 
1 1585 0 0 0 0.666023 0.111326 0.111326 0.111326 1 
1 1590 0 0 0 0.792078 0.0693073 0.0693073 0.0693073 1 
1 1595 0 0 0 0.897625 0.0341249 0.0341249 0.0341249 1 
1 1600 0 0 0 0.96971 0.0100968 0.0100968 0.0100968 1 
1 1605 0 0 0 0.999483 0.000172379 0.000172379 0.000172379 1 
1 1610 0 0 0 0.983291 0.00556969 0.00556969 0.00556969 1 
1 1615 0 0 0 0.923121 0.0256263 0.0256263 0.0256263 1 
1 1620 0 0 0 0.826359 0.0578803 0.0578803 0.0578803 1 
1 1625 0 0 0 0.704881 0.0983729 0.0983729 0.0983729 1 
1 1630 0 0 0 0.573599 0.142134 0.142134 0.142134 1 
1 1635 0 0 0 0.448625 0.183792 0.183792 0.183792 1 
1 1640 0 0 0 0.345301 0.218233 0.218233 0.218233 1 
1 1645 0 0 0 0.276307 0.241231 0.241231 0.241231 1 
1 1650 0 0 0 0.250114 0.249962 0.249962 0.249962 1 
1 1655 0 0 0 0.269935 0.243355 0.243355 0.243355 1 
1 1660 0 0 0 0.333338 0.222221 0.222221 0.222221 1 
1 1665 0 0 0 0.432541 0.189153 0.189153 0.189153 1 
1 1670 0 0 0 0.555366 0.148211 0.148211 0.148211 1 
1 1675 0 0 0 0.686739 0.10442 0.10442 0.10442 1 
1 1680 0 0 0 0.810534 0.0631553 0.0631553 0.0631553 1 
1 1685 0 0 0 0.911556 0.0294814 0.0294814 0.0294814 1 
1 1690 0 0 0 0.977404 0.00753183 0.00753183 0.00753183 1 
1 1695 0 0 0 0.999998 6.61293e-07 6.61293e-07 6.61293e-07 1 
1 1700 0 0 0 0.976563 0.00781233 0.00781233 0.00781233 1 
1 1705 0 0 0 0.909976 0.030008 0.030008 0.030008 1 
1 1710 0 0 0 0.80841 0.0638633 0.0638633 0.0638633 1 
1 1715 0 0 0 0.684332 0.105223 0.105223 0.105223 1 
1 1720 0 0 0 0.552971 0.14901 0.14901 0.14901 1 
1 1725 0 0 0 0.430451 0.18985 0.18985 0.18985 1 
1 1730 0 0 0 0.331811 0.22273 0.22273 0.22273 1 
1 1735 0 0 0 0.269158 0.243614 0.243614 0.243614 1 
1 1740 0 0 0 0.250182 0.249939 0.249939 0.249939 1 
1 1745 0 0 0 0.277212 0.240929 0.240929 0.240929 1 
1 1750 0 0 0 0.346932 0.217689 0.217689 0.217689 1 
1 1755 0 0 0 0.450782 0.183073 0.183073 0.183073 1 
1 1760 0 0 0 0.576016 0.141328 0.141328 0.141328 1 
1 1765 0 0 0 0.707263 0.0975789 0.0975789 0.0975789 1 
1 1770 0 0 0 0.828413 0.0571958 0.0571958 0.0571958 1 
1 1775 0 0 0 0.924595 0.0251351 0.0251351 0.0251351 1 
1 1780 0 0 0 0.984003 0.00533218 0.00533218 0.00533218 1 
1 1785 0 0 0 0.999347 0.000217713 0.000217713 0.000217713 1 
1 1790 0 0 0 0.968742 0.0104194 0.0104194 0.0104194 1 
1 1795 0 0 0 0.895944 0.0346852 0.0346852 0.0346852 1 
1 1800 0 0 0 0.789891 0.0700365 0.0700365 0.0700365 1 
1 1805 0 0 0 0.663598 0.112134 0.112134 0.112134 1 
1 1810 0 0 0 0.532567 0.155811 0.155811 0.155811 1 
1 1815 0 0 0 0.412882 0.195706 0.195706 0.195706 1 
1 1820 0 0 0 0.319233 0.226922 0.226922 0.226922 1 
1 1825 0 0 0 0.263115 0.245628 0.245628 0.245628 1 
1 1830 0 0 0 0.251416 0.249528 0.249528 0.249528 1 
1 1835 0 0 0 0.285572 0.238143 0.238143 0.238143 1 
1 1840 0 0 0 0.36139 0.21287 0.21287 0.21287 1 
1 1845 0 0 0 0.469565 0.176812 0.176812 0.176812 1 
1 1850 0 0 0 0.596819 0.134394 0.134394 0.134394 1 
1 1855 0 0 0 0.727531 0.0908229 0.0908229 0.0908229 1 
1 1860 0 0 0 0.845659 0.051447 0.051447 0.051447 1 
1 1865 0 0 0 0.936702 0.0210993 0.0210993 0.0210993 1 
1 1870 0 0 0 0.989486 0.00350472 0.00350472 0.00350472 1 
1 1875 0 0 0 0.997531 0.000822858 0.000822858 0.000822858 1 
1 1880 0 0 0 0.959851 0.0133829 0.0133829 0.0133829 1 
1 1885 0 0 0 0.88107 0.0396432 0.0396432 0.0396432 1 
1 1890 0 0 0 0.770858 0.0763805 0.0763805 0.0763805 1 
1 1895 0 0 0 0.642743 0.119086 0.119086 0.119086 1 
1 1900 0 0 0 0.51245 0.162517 0.162517 0.162517 1 
1 1905 0 0 0 0.395972 0.201343 0.201343 0.201343 1 
1 1910 0 0 0 0.307606 0.230798 0.230798 0.230798 1 
1 1915 0 0 0 0.258197 0.247268 0.247268 0.247268 1 
1 1920 0 0 0 0.253811 0.24873 0.24873 0.24873 1 
1 1925 0 0 0 0.294986 0.235005 0.235005 0.235005 1 
1 1930 0 0 0 0.376668 0.207777 0.207777 0.207777 1 
1 1935 0 0 0 0.488832 0.170389 0.170389 0.170389 1 
1 1940 0 0 0 0.617709 0.12743 0.12743 0.12743 1 
1 1945 0 0 0 0.74748 0.0841732 0.0841732 0.0841732 1 
1 1950 0 0 0 0.862219 0.0459271 0.0459271 0.0459271 1 
1 1955 0 0 0 0.94784 0.0173867 0.0173867 0.0173867 1 
1 1960 0 0 0 0.993835 0.00205513 0.00205513 0.00205513 1 
1 1965 0 0 0 0.994557 0.00181422 0.00181422 0.00181422 1 
